letter,count_all,count_uppercase,percentage
n,21,0,6.687898089171974
e,38,0,12.101910828025478
w,8,0,2.547770700636943
s,25,0,7.961783439490445
f,7,0,2.229299363057325
i,17,0,5.414012738853503
r,10,0,3.1847133757961785
t,23,0,7.32484076433121
o,20,0,6.369426751592357
p,12,0,3.821656050955414
a,27,0,8.598726114649681
g,3,0,0.9554140127388535
u,15,0,4.777070063694268
v,6,0,1.910828025477707
d,18,0,5.7324840764331215
c,8,0,2.547770700636943
l,18,0,5.7324840764331215
b,7,0,2.229299363057325
h,10,0,3.1847133757961785
y,7,0,2.229299363057325
j,5,0,1.5923566878980893
k,6,0,1.910828025477707
x,1,0,0.3184713375796179
m,1,0,0.3184713375796179
z,1,0,0.3184713375796179
